source_file,size_bytes,modified_utc,pages_or_paras,domain,category,program,gender,student_year,audience,currency,ay,stable_flag,chunk_count
PG MTECH FAQS.pdf,67052,2025-09-07,3,PG,FAQ,M.Tech,,,,,,stable,8
UG FOREIGN FAQ.pdf,174087,2025-09-07,6,Foreign-UG,FAQ,,,,Foreign,USD,,stable,24
UG NRI_FAQS.pdf,64539,2025-09-08,2,NRI-UG,FAQ,,,,NRI,USD,,stable,7
VITMEE MCA FAQS.pdf,79959,2025-09-04,4,PG,FAQ,MCA,,,,,,stable,13
VITREE FAQS.pdf,73410,2025-09-04,5,Research,FAQ,Ph.D.,,,,,,stable,16
Fresher's-Hostel-Admission-Information-Vellore-Campus-2025-26.pdf,482040,2025-09-01,1,Hostel,,,,,,,2025-26,stable,7
Hostel-Joint-Affidavit-2025.pdf,300060,2025-09-01,4,Hostel,Documents Required,,,,,,,stable,21
Hostel-Refund-Policy-25-26.pdf,599506,2025-09-01,3,Hostel,Refund Policy,,,,,,,volatile,15
LH-FEE-structure-Indian-Category-2025-26.pdf,271799,2025-09-01,1,Hostel,Fee Structure,,Female,,,INR,2025-26,volatile,9
LH-FEE-structure-NRI-Foreign-Category-2025-26.pdf,198519,2025-09-01,1,Hostel,Fee Structure,,Female,,,USD,2025-26,volatile,3
MH-First-Year-FEE-structure-Indian-NRI-FOREIGN-Category-2025-26.pdf,89900,2025-09-01,2,Hostel,Fee Structure,,Male,First-Year,,USD,2025-26,volatile,13
MH-Senior-FEE-structure-Indian-NRI-FOREIGN-Category-2025-26.pdf,89091,2025-09-01,2,Hostel,Fee Structure,,Male,Senior,,USD,2025-26,volatile,13
M.SC PROCESS.pdf,140603,2025-09-08,9,PG,Admission Process,M.Sc,,,,,,stable,35
MCA 2 Years PG Program.pdf,103908,2025-09-08,5,PG,,MCA,,,,,,stable,17
POSTGRADUTE ADMISSIONS PROCESS.pdf,217072,2025-09-07,14,,Admission Process,,,,,,,stable,51
VITEEE FAQS.pdf,88136,2025-09-14,5,,FAQ,,,,,,,stable,20
VITREE PROCESS.pdf,112798,2025-09-08,5,Research,Admission Process,Ph.D.,,,,,,stable,13
Academic Fee.pdf,189967,2025-09-14,12,,Fee Structure,,,,,INR,,volatile,29
Document Submission.pdf,72457,2025-09-14,2,,Documents Required,,,,,,,stable,5
FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf,45034,2025-09-14,3,NRI-Intl,Fee Structure,,,,Foreign,USD,,volatile,4
UG DOCUMENTS DOWNLOAD.pdf,61106,2025-09-14,1,UG,Documents Required,,,,,,,stable,1
UG FOREIGN Program_Process.pdf,162945,2025-09-14,4,Foreign-UG,Admission Process,,,,Foreign,USD,,stable,17
UG NRI PROCESS.pdf,115779,2025-09-14,4,NRI-UG,Admission Process,,,,NRI,USD,,stable,16
UG Programmes Offered.pdf,124353,2025-09-14,6,UG,Courses Offered,,,,,,,stable,18
PG MTECH FAQS.pdf,67052,2025-09-07,3,PG,FAQ,M.Tech,,,,,,stable,8
UG FOREIGN FAQ.pdf,174087,2025-09-07,6,Foreign-UG,FAQ,,,,Foreign,USD,,stable,24
UG NRI_FAQS.pdf,64539,2025-09-08,2,NRI-UG,FAQ,,,,NRI,USD,,stable,7
VITMEE MCA FAQS.pdf,79959,2025-09-04,4,PG,FAQ,MCA,,,,,,stable,13
VITREE FAQS.pdf,73410,2025-09-04,5,Research,FAQ,Ph.D.,,,,,,stable,16
Fresher's-Hostel-Admission-Information-Vellore-Campus-2025-26.pdf,482040,2025-09-01,1,Hostel,,,,,,,2025-26,stable,7
Hostel-Joint-Affidavit-2025.pdf,300060,2025-09-01,4,Hostel,Documents Required,,,,,,,stable,21
Hostel-Refund-Policy-25-26.pdf,599506,2025-09-01,3,Hostel,Refund Policy,,,,,,,volatile,15
LH-FEE-structure-Indian-Category-2025-26.pdf,271799,2025-09-01,1,Hostel,Fee Structure,,Female,,,INR,2025-26,volatile,9
LH-FEE-structure-NRI-Foreign-Category-2025-26.pdf,198519,2025-09-01,1,Hostel,Fee Structure,,Female,,,USD,2025-26,volatile,3
MH-First-Year-FEE-structure-Indian-NRI-FOREIGN-Category-2025-26.pdf,89900,2025-09-01,2,Hostel,Fee Structure,,Male,First-Year,,USD,2025-26,volatile,13
MH-Senior-FEE-structure-Indian-NRI-FOREIGN-Category-2025-26.pdf,89091,2025-09-01,2,Hostel,Fee Structure,,Male,Senior,,USD,2025-26,volatile,13
M.SC PROCESS.pdf,140603,2025-09-08,9,PG,Admission Process,M.Sc,,,,,,stable,35
MCA 2 Years PG Program.pdf,103908,2025-09-08,5,PG,,MCA,,,,,,stable,17
POSTGRADUTE ADMISSIONS PROCESS.pdf,217072,2025-09-07,14,,Admission Process,,,,,,,stable,51
VITEEE FAQS.pdf,88136,2025-09-14,5,,FAQ,,,,,,,stable,20
VITREE PROCESS.pdf,112798,2025-09-08,5,Research,Admission Process,Ph.D.,,,,,,stable,13
Academic Fee.pdf,189967,2025-09-14,12,,Fee Structure,,,,,INR,,volatile,29
Document Submission.pdf,72457,2025-09-14,2,,Documents Required,,,,,,,stable,5
FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf,45034,2025-09-14,3,NRI-Intl,Fee Structure,,,,Foreign,USD,,volatile,4
UG DOCUMENTS DOWNLOAD.pdf,61106,2025-09-14,1,UG,Documents Required,,,,,,,stable,1
UG FOREIGN Program_Process.pdf,162945,2025-09-14,4,Foreign-UG,Admission Process,,,,Foreign,USD,,stable,17
UG NRI PROCESS.pdf,115779,2025-09-14,4,NRI-UG,Admission Process,,,,NRI,USD,,stable,16
UG Programmes Offered.pdf,124353,2025-09-14,6,UG,Courses Offered,,,,,,,stable,18
