level,program,school,duration,campus,source_file
UG,B.Arch,,,Vellore; VIT-Bhopal,UG Programmes Offered.pdf
UG,B.B.A (2+2 VSB->ASU | Degree from ASU),,,VIT-AP,UG Programmes Offered.pdf
UG,B.B.A (2+2 VSB->UMD | Degree from UMD),,,VIT-AP,UG Programmes Offered.pdf
UG,B.B.A (Bachelor of Business Administration),,,Vellore; VIT-AP; VIT-Bhopal,UG Programmes Offered.pdf
UG,B.B.A (Business Analytics),,,VIT-AP,UG Programmes Offered.pdf
UG,B.B.A (Hons.) 2+2 with RIT,,,Chennai,UG Programmes Offered.pdf
UG,B.B.A (Specialisation: Digital Marketing),,,VIT-AP,UG Programmes Offered.pdf
UG,B.B.A (Specialisation: FinTech),,,VIT-AP,UG Programmes Offered.pdf
UG,B.B.A (Specialisation: General Management),,,VIT-AP,UG Programmes Offered.pdf
UG,B.C.A (Bachelor of Computer Applications),,,Vellore,UG Programmes Offered.pdf
UG,B.Com (Bachelor of Commerce),,,Vellore,UG Programmes Offered.pdf
UG,B.Com (Finance),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Com (Hons.),,,Chennai,UG Programmes Offered.pdf
UG,B.Com - Business Process Services,,,Vellore,UG Programmes Offered.pdf
UG,B.Com – Banking and Capital Markets,,,Vellore,UG Programmes Offered.pdf
UG,B.Com – Financial Technology,,,Vellore,UG Programmes Offered.pdf
UG,B.Des. Industrial Design,,,Vellore,UG Programmes Offered.pdf
UG,B.Sc. (Hons.) Agriculture,,,Vellore,UG Programmes Offered.pdf
UG,B.Sc. Computer Science,,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Sc. Economics (Hons.),,,Chennai,UG Programmes Offered.pdf
UG,B.Sc. Fashion Design,,,Chennai,UG Programmes Offered.pdf
UG,B.Sc. Multimedia & Animation,,,Vellore,UG Programmes Offered.pdf
UG,B.Sc. Visual Communication,,,Vellore,UG Programmes Offered.pdf
UG,B.Sc. in Hospitality and Hotel Administration,,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - Aerospace Engineering,,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - Bioengineering,,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - Biotechnology,,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - CSE (AI & Data Engineering),,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - CSE (AI & ML),,,Vellore; Chennai; VIT-AP; VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - CSE (AI & Robotics),,,Chennai,UG Programmes Offered.pdf
UG,B.Tech - CSE (Bioinformatics),,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - CSE (Blockchain),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - CSE (Cloud Computing & Automation),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - CSE (Cyber Physical Systems),,,Chennai,UG Programmes Offered.pdf
UG,B.Tech - CSE (Cyber Security & Digital Forensics),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - CSE (Cyber Security),,,Vellore; Chennai; VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - CSE (Data Analytics),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - CSE (Data Science),,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Tech - CSE (E-Commerce Technology),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - CSE (Education Technology),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - CSE (Gaming Technology),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - CSE (Health Informatics),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - CSE (Software Engineering),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - CSE and Business Systems (with TCS),,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - Chemical Engineering,,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - Civil Engineering,,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Tech - Civil Engineering (In Collaboration with L & T),,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Tech - Computer Science and Business Systems,,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - Computer Science and Engineering,,,Vellore; Chennai; VIT-AP; VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - ECE (AI & Cybernetics),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - ECE (Biomedical Engineering),,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - ECE (Embedded Systems),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - ECE (VLSI),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - Electrical and Computer Science Engineering,,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Tech - Electrical and Electronics Engineering,,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Tech - Electronics Engineering (VLSI Design and Technology),,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Tech - Electronics and Communication Engineering,,,Vellore; Chennai; VIT-AP; VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - Electronics and Computer Engineering,,,Chennai,UG Programmes Offered.pdf
UG,B.Tech - Electronics and Instrumentation Engineering,,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - Fashion Technology,,,Chennai,UG Programmes Offered.pdf
UG,B.Tech - Health Sciences and Technology,,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - Information Technology,,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - Mechanical Engineering,,,Vellore; Chennai; VIT-AP; VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - Mechanical Engineering (AI & Robotics),,,VIT-Bhopal,UG Programmes Offered.pdf
UG,B.Tech - Mechanical Engineering (Automotive Design),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - Mechanical Engineering (Electric Vehicles),,,Vellore; Chennai,UG Programmes Offered.pdf
UG,B.Tech - Mechanical Engineering (Robotics),,,VIT-AP,UG Programmes Offered.pdf
UG,B.Tech - Mechanical Engineering (Smart Manufacturing),,,Vellore,UG Programmes Offered.pdf
UG,B.Tech - Mechatronics and Automation,,,Chennai,UG Programmes Offered.pdf
