level,program,criteria,source_file
UG,UG (ALL),UG NRI:,UG NRI_FAQS.pdf
UG,UG (ALL),You'll need to have completed 12 years of schooling (equivalent to the 10+2 system in,UG NRI_FAQS.pdf
UG,UG (ALL),subjects.,UG NRI_FAQS.pdf
UG,UG (ALL),"A minimum aggregate of 60% in PCM or PCB, as per the case may be.",UG NRI_FAQS.pdf
UG,UG (ALL),What if my qualifying exam is from a foreign board?,UG NRI_FAQS.pdf
UG,UG (ALL),Who is considered an NRI for admission?,UG NRI_FAQS.pdf
UG,UG (ALL),Children of Indian citizens’ parents working abroad are considered under the NRI category.,UG NRI_FAQS.pdf
UG,UG (ALL),NRI sponsorship to be provided only by your parent (father or mother). Sponsorship from,UG NRI_FAQS.pdf
UG,UG (ALL),Is there an entrance exam for NRI admission?,UG NRI_FAQS.pdf
UG,B.Tech,We offer direct admission to B.Tech programs for NRI students based on their eligibility,UG NRI_FAQS.pdf
UG,B.Tech,"requirements. However NRI candidates can also appear for VITEEE, where the Admission is",UG NRI_FAQS.pdf
UG,B.Tech,based on the VITEEE rank and the counselling procedure. For more,UG NRI_FAQS.pdf
UG,B.Tech,details https://viteee.vit.ac.in,UG NRI_FAQS.pdf
UG,UG (ALL),What is the fee structure for NRI students?,UG NRI_FAQS.pdf
UG,UG (ALL),Please follow the link for the NRI fee,UG NRI_FAQS.pdf
UG,B.Tech,How do I apply for B.Tech admission under the NRI category?,UG NRI_FAQS.pdf
UG,UG (ALL),"Which Engineering stream will I be eligible if I have taken Physics, Chemistry and",UG NRI_FAQS.pdf
UG,B.Tech,"emistry and Maths in 12th grade, you will be eligible for all the B.Tech programmes, whereas",UG NRI_FAQS.pdf
UG,UG (ALL),"If you have taken Physics, Chemistry and Biology you will be eligible only for",UG NRI_FAQS.pdf
UG,UG (ALL),NRI UG Programmes Offered :,UG NRI PROCESS.pdf
UG,UG (ALL),NRI direct admission.,UG NRI PROCESS.pdf
UG,UG (ALL),3: Eligible students will receive a provisional admission letter. Programme allotment is on,UG NRI PROCESS.pdf
UG,UG (ALL),Steps involved in the process of filling NRI online application form,UG NRI PROCESS.pdf
UG,UG (ALL),. Application fee of USD 50 (Non Refundable) to be paid for NRI applicants only.,UG NRI PROCESS.pdf
UG,UG (ALL),Eligibility :,UG NRI PROCESS.pdf
UG,UG (ALL),General Eligibility,UG NRI PROCESS.pdf
UG,UG (ALL),Candidates whose date of birth falls on or after 1st July 2003 are eligible to apply.,UG NRI PROCESS.pdf
UG,UG (ALL),English as one of the subjects in the qualifying Examination.,UG NRI PROCESS.pdf
UG,UG (ALL),candidates should have completed 12 years of schooling (equivalent to the 10+2,UG NRI PROCESS.pdf
UG,UG (ALL),Biotechnology as compulsory subjects,UG NRI PROCESS.pdf
UG,UG (ALL),"A pass with Minimum aggregate of 60% or equivalent Grade in Physics, Chemistry",UG NRI PROCESS.pdf
UG,UG (ALL),and Mathematics (PCM) or Biology or Biotechnology (PCB) in standard XII or,UG NRI PROCESS.pdf
UG,UG (ALL),"Chemistry as subjects in the qualifying examination, they should produce the",UG NRI PROCESS.pdf
UG,UG (ALL),AIU / Board of Studies,UG NRI PROCESS.pdf
UG,UG (ALL),The final examination of the 10+2 system of higher secondary examination,UG NRI PROCESS.pdf
UG,UG (ALL),"conducted by the State Board; Central Board of Secondary Education (CBSE, New",UG NRI PROCESS.pdf
UG,UG (ALL),Board/ University,UG NRI PROCESS.pdf
UG,UG (ALL),Applicants who have completed the Class 12 (or equivalent) examination outside,UG NRI PROCESS.pdf
UG,UG (ALL),India or from a Board not specified above should produce a certificate from the,UG NRI PROCESS.pdf
UG,UG (ALL),passed is e quivalent to the Class 12 Examination with grade/CGPA converted to,UG NRI PROCESS.pdf
UG,UG (ALL),Applicants must provide their qualifying mark statement from the respective board,UG NRI PROCESS.pdf
UG,UG (ALL),UG FOREIGN Programmes Offered,UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ Any foreign national with valid passport.,UG FOREIGN Program_Process.pdf
UG,UG (ALL),OCI (Overseas Citizen of India) Candidates / PIO (Person of Indian Origin),UG FOREIGN Program_Process.pdf
UG,UG (ALL),➔ Eligible students will receive provisional admission letter,UG FOREIGN Program_Process.pdf
UG,UG (ALL),Steps involved in the process of filling Foreign online application form,UG FOREIGN Program_Process.pdf
